"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL2425070";"";"0";"320.34";"0";"1.86";"23";"N[C@H]1C[C@@H](N2Cc3cn[nH]c3C2)CO[C@@H]1c1cc(F)ccc1F";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL2429419";"Inhibition of human DPP8";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2424528";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None";""
"CHEMBL2011537";"";"0";"362.43";"0";"2.35";"1";"N[C@@H]1CCN(c2ccc(-n3ccc(OCc4ccccc4)cc3=O)cn2)C1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2014320";"Inhibition of DPP8";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2010730";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None";""
"CHEMBL2206474";"";"0";"487.62";"0";"3.43";"29";"N[C@@H](CC(=O)NC1(c2nc(-c3ccccc3)cs2)CCS(=O)(=O)CC1)Cc1ccccc1F";"IC50";"'='";"9600.0";"nM";"5.02";"";"";"UO_0000065";"10.29";"0.21";"1.59";"4.91";"0";"CHEMBL2214973";"Inhibition of DPP8";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2202985";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None";""
"CHEMBL3127989";"";"0";"378.86";"0";"2.80";"6k";"N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1csc(-c2ccc(Cl)cc2)n1";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"15.84";"0.33";"3.20";"7.23";"0";"CHEMBL3128755";"Inhibition of recombinant his6-tagged DPP8 (unknown origin) expressed in baculovirus expression system using Ala-pro-AMC as substrate by fluorometric analysis";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124820";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2014";"None";""
"CHEMBL1683098";"";"0";"310.39";"0";"2.87";"24a, trans";"CC(=O)N(C)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1687448";"Inhibition of DPP8";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681733";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"None";""
"CHEMBL1683134";"";"0";"342.39";"0";"3.02";"53f";"N#Cc1cncc(N2CCC([C@H](N)Cc3cc(F)ccc3F)CC2)c1";"IC50";"'='";"46000.0";"nM";"4.34";"";"";"UO_0000065";"12.67";"0.24";"1.32";"6.58";"0";"CHEMBL1687448";"Inhibition of DPP8";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681733";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"None";""
"CHEMBL2418630";"";"0";"466.97";"0";"2.39";"6l";"COc1cccc(Cn2cc(-c3ccc(C[C@H](N)C(=O)N4CCC[C@H]4C#N)cc3)nn2)c1.Cl";"IC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"15.15";"0.28";"4.13";"5.93";"0";"CHEMBL2424448";"Inhibition of human purified His-tagged DPP-8 assessed as cleavage of substrate using Gly-Pro-AMC chromogenic substrate after 60 mins by fluorescence spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2417472";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";"None";""
"CHEMBL2159191";"";"0";"436.29";"0";"2.09";"10c";"CCNc1nc2c(c(-c3cc(F)ccc3Br)c1CN)c(=O)n(C)c(=O)n2C";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2162560";"Inhibition of DPP8";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2157947";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None";""
"CHEMBL1086039";"";"0";"354.43";"0";"0.19";"12e";"CC(C)(CC(=O)N1CCC[C@H]1CO)NCC(=O)N1C[C@@H](F)C[C@H]1C#N";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1119678";"Inhibition of DPP8";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158599";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL201644";"";"0";"354.45";"0";"1.80";"4";"CC(C)(CC(=O)N1Cc2ccccc2C1)NCC(=O)N1CCC[C@H]1C#N";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1119678";"Inhibition of DPP8";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4657";"Dipeptidyl peptidase VIII";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158599";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
